M/Z,EXPERIMENTAL_M/Z,INTENSITY,SAMPLE,FILE
324.92669,324.92502,8878.121,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_1_p0312_ug_ul_rerun,226.csv
324.92669,324.92664,11079.027,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_1_p0156_ug_ul,21.csv
324.92669,324.92654,33028.266,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_2_p0156_ug_ul,61.csv
324.92669,324.927,22126.49,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_2_1_ug_ul,196.csv
324.92669,324.92767,478.11612,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_BLANK_2,21.csv
324.92669,324.9272,18361.855,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_2_p5_ug_ul,121.csv
324.92669,324.925,95689.54,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_1_p0312_ug_ul,51.csv
324.92669,324.92618,12473.847,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_2_p125_ug_ul,91.csv
324.92669,324.9272,14136.0625,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_2_p5_ug_ul,1.csv
1189.48879,1189.487,111227.05,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_p0312_ug_ul,316.csv
1189.48879,1189.4901,136271.56,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_1_p5_ug_ul,256.csv
1189.48879,1189.4861,36466.977,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_p0625_ug_ul,226.csv
1189.48879,1189.493,56911.414,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_2_p5_ug_ul,266.csv
1189.48879,1189.4921,202271.16,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_3_p5_ug_ul,51.csv
1189.48879,1189.498,51932.504,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_1_1_ug_ul,26.csv
1189.48879,1189.494,36034.652,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_3_p0625_ug_ul,76.csv
1189.48879,1189.4811,141411.83,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_3_p0156_ug_ul,221.csv
1189.48879,1189.483,88185.49,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_3_p0625_ug_ul,166.csv
1189.48879,1189.4921,30812.803,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_p25_ug_ul,46.csv
1189.48879,1189.4965,93673.414,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_3_1_ug_ul_rerun,61.csv
1189.48879,1189.487,117744.92,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_2_p25_ug_ul,211.csv
1189.48879,1189.477,43236.805,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_2_p25_ug_ul,111.csv
1189.48879,1189.484,43193.883,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_2_p0156_ug_ul,111.csv
1189.48879,1189.498,90806.36,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_1_ug_ul,41.csv
1189.48879,1189.485,38316.098,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_3_p0156_ug_ul,331.csv
1189.48879,1189.4971,59772.06,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_1_p0625_ug_ul,171.csv
1189.48879,1189.4839,122188.16,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_1_p5_ug_ul,56.csv
1189.48879,1189.4775,38162.46,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_2_p0625_ug_ul,176.csv
1189.48879,1189.4896,21539.678,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_3_p0312_ug_ul,101.csv
1189.48879,1189.487,99508.97,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_1_p5_ug_ul,231.csv
1189.48879,1189.5,50329.34,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_2_p0625_ug_ul,126.csv
1189.48879,1189.487,77561.57,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_3_p0312_ug_ul,1.csv
1189.48879,1189.484,97937.805,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_2_p0312_ug_ul,81.csv
1189.48879,1189.484,34280.742,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_1_p25_ug_ul,201.csv
1189.48879,1189.488,78303.086,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_3_p125_ug_ul,206.csv
1189.48879,1189.49,34427.098,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_p5_ug_ul,156.csv
1189.48879,1189.4858,81964.75,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_1_p125_ug_ul,116.csv
1189.48879,1189.479,63601.145,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_2_p0312_ug_ul,241.csv
1189.48879,1189.4911,464835.6,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_2_p0625_ug_ul,81.csv
1189.48879,1189.4811,105319.055,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_1_p0312_ug_ul,41.csv
1189.48879,1189.4901,73957.33,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_3_p0078_ug_ul,71.csv
1189.48879,1189.499,53020.664,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_3_p0312_ug_ul,331.csv
1189.48879,1189.5,150278.55,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_3_1_ug_ul,331.csv
